Date,Open,High,Low,Close,Volume,DailyReturn,VolumeChange
1995-03-29,21.236,22.152,21.236,21.59,7289383,0.01666980598982848,1.9437565674750767
1995-03-30,21.637,21.901,21.285,21.85,4956707,0.012042612320518842,-0.32001007492678046
1995-03-31,21.637,22.206,21.387,22.103,4523480,0.011578947368421133,-0.08740218052025261
1995-04-03,22.053,22.053,21.637,21.749,3868420,-0.016015925439985645,-0.14481328534668003
1995-04-04,21.749,22.002,21.637,22.002,4153364,0.011632718745689496,0.07365901324054791
1995-04-05,21.85,22.206,21.799,21.901,2567321,-0.004590491773475147,-0.38186949181434615
1995-04-06,21.901,22.053,21.85,21.951,1808824,0.0022830007762202342,-0.29544299290972964
1995-04-07,21.951,22.103,21.901,21.951,2014285,0.0,0.11358816557055862
1995-04-10,21.901,22.152,21.901,22.152,1595057,0.009156758234249107,-0.20812744969058494
1995-04-11,22.053,22.364,22.002,22.152,3000549,0.0,0.8811547173549283
1995-04-12,22.206,23.233,22.206,22.979,5865623,0.037332972192126945,0.954849929129636
1995-04-13,22.929,22.979,22.465,22.667,2785357,-0.013577614343530997,-0.5251387619013359
1995-04-17,22.719,22.878,22.667,22.719,2160197,0.002294083910530764,-0.2244451967916501
1995-04-18,22.566,22.617,21.85,22.002,2854399,-0.031559487653506024,0.321360505546485
1995-04-19,22.103,22.415,22.002,22.103,2417855,0.004590491773475369,-0.15293727331042362
1995-04-20,22.262,22.617,22.206,22.566,2573726,0.0209473827082296,0.06446664502213739
1995-04-21,22.667,23.032,22.518,22.929,3120837,0.016086147301249687,0.21257546452108733
1995-04-24,23.032,23.442,22.719,23.391,3138153,0.020149156090540243,0.005548511505086617
1995-04-25,23.291,23.291,22.929,23.081,3052032,-0.013252960540378722,-0.027443212615828494
1995-04-26,23.081,23.291,22.929,23.081,3569956,0.0,0.1696980896661633
1995-04-27,22.828,23.184,22.828,22.979,2368267,-0.004419219271262098,-0.33661171174098503
1995-04-28,22.878,22.929,22.465,22.617,2693780,-0.01575351407807124,0.1374477624355699
1995-05-01,22.776,22.776,22.566,22.566,2183683,-0.002254940973604014,-0.18936104655911024
1995-05-02,22.518,22.929,22.465,22.878,1678099,0.013826110077107101,-0.2315281109941324
1995-05-03,22.878,23.13,22.828,23.032,2144538,0.006731357636156954,0.27795678324103634
1995-05-04,23.032,23.291,22.776,22.828,3215263,-0.00885724209795069,0.49928003141002875
1995-05-05,22.776,22.878,22.465,22.566,2165416,-0.011477133345014878,-0.3265197901384739
1995-05-08,22.415,22.518,22.103,22.465,2240861,-0.0044757599929096115,0.03484088045899725
1995-05-09,22.566,22.929,22.518,22.929,2414768,0.020654351212997968,0.07760722329497449
1995-05-10,22.979,23.13,22.415,22.415,1958530,-0.022417026473025348,-0.1889365769299577
1995-05-11,22.364,22.415,22.262,22.364,2152603,-0.0022752621012713803,0.09909115510101962
1995-05-12,22.415,22.518,22.206,22.465,2116069,0.0045161867286709345,-0.016972010166296347
1995-05-15,22.566,22.776,22.206,22.566,2402671,0.004495882483863678,0.1354407630375003
1995-05-16,22.719,22.929,22.566,22.878,1783201,0.013826110077107101,-0.2578255616353633
1995-05-17,22.979,23.594,22.929,23.442,4553849,0.02465250458956203,1.5537496894629377
1995-05-18,23.391,23.648,22.878,22.878,2955946,-0.024059380598924984,-0.3508906421798351
1995-05-19,22.828,22.979,22.518,22.667,3342196,-0.00922283416382541,0.13066882818562986
1995-05-22,22.878,23.544,22.878,23.13,3461769,0.020426170203379224,0.035776776706093916
1995-05-23,23.13,23.442,23.081,23.391,3392255,0.011284046692606964,-0.02008048486193037
1995-05-24,23.807,24.059,23.442,23.648,4437354,0.010987131802830286,0.30808385572428953
1995-05-25,23.344,23.496,23.13,23.344,2703982,-0.012855209742895779,-0.39063189459303904
1995-05-26,23.291,23.496,23.13,23.233,2007644,-0.004754969156956834,-0.2575231639855591
1995-05-30,23.344,24.059,23.344,23.959,2166127,0.031248654930486675,0.07893979211453828
1995-05-31,23.807,24.211,23.696,24.211,2541224,0.010517968195667526,0.17316482366915698
1995-06-01,24.111,24.211,23.856,24.111,2044181,-0.00413035397133521,-0.19559196670580792
1995-06-02,23.959,24.262,23.856,24.262,2372539,0.006262701671436277,0.160630589952651
1995-06-05,24.826,25.803,24.826,25.34,7894146,0.04443162146566637,2.327298729335956
1995-06-06,25.34,25.34,24.623,24.988,3647068,-0.013891081294396201,-0.5380034775135905
1995-06-07,24.826,25.34,24.674,25.138,3174931,0.006002881383063929,-0.12945659362534512
1995-06-08,25.289,25.803,25.239,25.601,3925838,0.018418330813907202,0.23651128166249902
1995-06-09,25.551,25.65,25.45,25.65,2681440,0.0019139877348541834,-0.3169764009620366
1995-06-12,25.703,25.755,25.551,25.65,2749771,0.0,0.025482949459991744
1995-06-13,25.755,26.68,25.65,26.68,6233606,0.04015594541910339,1.2669545936734368
1995-06-14,26.528,26.581,26.318,26.318,4600589,-0.013568215892053925,-0.2619698774673921
1995-06-15,26.528,26.68,26.268,26.268,3583007,-0.001899840413405296,-0.22118515694403473
1995-06-16,26.368,26.528,26.217,26.477,3227600,0.007956448911222713,-0.09919238226439409
1995-06-19,26.581,26.781,26.528,26.733,4414344,0.009668769120368736,0.367686206469203
1995-06-20,26.581,26.68,26.318,26.428,2866499,-0.011409119814461466,-0.3506398685739036
1995-06-21,26.368,26.63,26.318,26.528,2312747,0.0037838655970938717,-0.19318060114446234
1995-06-22,26.528,26.781,26.428,26.528,1845360,0.0,-0.20209171171771056
1995-06-23,26.477,26.883,26.368,26.883,2064822,0.01338208685162856,0.1189263883469891
1995-06-26,26.68,26.781,26.116,26.165,1840378,-0.02670832868355466,-0.10869895806999341
1995-06-27,26.016,26.064,25.601,25.962,3088809,-0.0077584559526083785,0.6783557508294491
1995-06-28,25.962,26.268,25.855,26.217,1841560,0.009822047608042395,-0.40379609098523084
1995-06-29,26.318,26.581,26.217,26.528,2053907,0.011862531944921262,0.11530821694650184
1995-06-30,26.477,26.528,25.4,25.755,4715895,-0.02913902291917969,1.2960606298143005
1995-07-03,25.601,25.601,25.138,25.34,1926502,-0.016113376043486616,-0.5914875119144934
1995-07-05,25.289,26.428,25.239,25.962,5007949,0.024546172059984217,1.5995036600013912
1995-07-06,26.165,26.63,26.016,26.63,3173746,0.025729912949695732,-0.3662583225188595
1995-07-07,26.528,27.145,26.477,26.581,5147458,-0.0018400300413067283,0.6218871957617276
1995-07-10,26.477,26.63,26.268,26.428,2210258,-0.005755991121477733,-0.5706117466135712
1995-07-11,26.116,26.428,26.016,26.368,1638712,-0.0022703193582565007,-0.2585879114564906
1995-07-12,26.318,26.528,26.268,26.428,2004320,0.0022754854368933763,0.22310692787994468
1995-07-13,26.368,26.94,26.318,26.94,2339324,0.01937339185712128,0.16714097549293516
1995-07-14,26.992,26.992,26.528,26.63,1910369,-0.011507052709725407,-0.1833670752747375
1995-07-17,26.477,26.68,26.477,26.68,1733139,0.0018775816748028973,-0.09277265282256986
1995-07-18,26.528,26.581,25.913,26.217,3082639,-0.01735382308845579,0.7786449903902688
1995-07-19,26.116,26.217,24.826,25.803,4234270,-0.015791280466872615,0.37358607349092776
1995-07-20,25.913,25.962,25.601,25.803,2635889,0.0,-0.377486792292414
1995-07-21,25.803,26.217,25.703,25.913,3601754,0.004263070185637208,0.36642855598244073
1995-07-24,25.755,26.318,25.703,26.318,2154977,0.015629220854397552,-0.40168678926989465
1995-07-25,27.454,27.557,27.145,27.145,6545358,0.0314233604377232,2.0373215120161374
1995-07-26,27.344,27.454,26.832,26.883,5847590,-0.009651869589243023,-0.10660501686844326
1995-07-27,26.94,27.808,26.94,27.763,3594396,0.032734441840568396,-0.385320106231798
1995-07-28,27.763,28.02,27.399,28.02,2326985,0.0092569246839318,-0.35260750345816094
1995-07-31,27.808,27.808,27.506,27.557,1842513,-0.016523911491791665,-0.20819730251806523
1995-08-01,27.557,27.708,27.454,27.608,2651076,0.0018507094386182033,0.43883706654986976
1995-08-02,27.763,28.02,27.092,27.246,2627586,-0.013112141408287536,-0.008860553224426582
1995-08-03,27.145,27.708,26.992,27.557,2137179,0.01141451956250461,-0.1866378493415629
1995-08-04,27.557,27.763,27.296,27.344,1041307,-0.0077294335377580126,-0.5127656597786148
1995-08-07,27.194,27.454,27.145,27.296,2544784,-0.0017554125219426675,1.4438364478487133
1995-08-08,27.145,27.296,27.047,27.092,1510594,-0.007473622508792466,-0.40639598488516115
1995-08-09,27.047,27.047,26.832,26.883,1468600,-0.0077144544514985425,-0.02779966026609404
1995-08-10,26.883,26.992,26.318,26.528,3583246,-0.013205371424320211,1.4399060329565572
1995-08-11,26.477,26.477,26.116,26.368,2121759,-0.006031363088057962,-0.4078667777763514
1995-08-14,26.268,26.68,26.165,26.581,1856274,0.00807797330097082,-0.12512495528474255
1995-08-15,26.63,26.68,26.165,26.268,1610716,-0.011775328241977356,-0.13228542769009322
1995-08-16,26.368,26.528,25.913,26.016,2152130,-0.009593421653723233,0.3361325025640771
1995-08-17,25.855,25.962,25.601,25.755,2223307,-0.010032287822878239,0.033072816233220115
1995-08-18,25.755,26.165,25.703,26.016,2742891,0.010133954571927672,0.2336987199698468
1995-08-21,26.428,26.832,26.368,26.68,2978722,0.02552275522755232,0.0859789907801658
1995-08-22,26.63,26.781,26.528,26.68,1834447,0.0,-0.38414964538483287
1995-08-23,26.63,26.68,26.165,26.165,2634703,-0.019302848575712184,0.4362382778025202
1995-08-24,26.268,26.368,25.962,25.962,1675013,-0.0077584559526083785,-0.3642497845108158
1995-08-25,25.962,26.368,25.962,26.016,1483547,0.002079963022879605,-0.11430717254134748
1995-08-28,26.116,26.217,25.755,26.217,1186028,0.00772601476014767,-0.2005457191447254
1995-08-29,26.165,26.528,26.165,26.318,1476903,0.003852462142884594,0.24525137686462717
1995-08-30,26.428,26.477,26.217,26.318,1053887,0.0,-0.28642097686848766
1995-08-31,26.318,26.368,26.217,26.318,1000974,0.0,-0.05020747006083193
1995-09-01,26.318,27.296,26.268,26.883,2699476,0.02146819667147959,1.6968492688121768
1995-09-05,27.145,27.912,26.992,27.708,3807453,0.03068853922553294,0.4104415079074606
1995-09-06,27.912,28.325,27.808,27.961,2754517,0.009130936913526844,-0.276546026963432
1995-09-07,27.808,27.861,27.296,27.399,2027571,-0.020099424197989935,-0.2639105149832076
1995-09-08,27.608,28.272,27.399,28.174,2630908,0.028285703857805045,0.2975663984146548
1995-09-11,28.174,28.636,28.072,28.536,2708017,0.012848725775537861,0.029308892595256042
1995-09-12,28.689,28.788,28.426,28.737,1686638,0.007043734230445686,-0.37716860713946776
1995-09-13,28.689,29.15,28.584,29.099,2797698,0.012597000382781776,0.6587424213138799
